bulbasaur Grass
ivysaur Grass
venusaur Grass
charmander Fire
charmeleon Fire
charizard Fire
squirtle Water
wartortle Water
blastoise Water
caterpie Bug
metapod Bug
butterfree Bug
weedle Bug
kakuna Bug
beedrill Bug
pidgey Normal
pidgeotto Normal
pidgeot Normal
rattata Normal
raticate Normal
spearow Normal
fearow Normal
ekans Poison
arbok Poison
pikachu Electric
raichu Electric
sandshrew Ground
sandslash Ground
nidoran-f Poison
nidorina Poison
nidoqueen Poison
nidoran-m Poison
nidorino Poison
nidoking Poison
clefairy Fairy
clefable Fairy
vulpix Fire
ninetales Fire
jigglypuff Normal
wigglytuff Normal
zubat Poison
golbat Poison
oddish Grass
gloom Grass
vileplume Grass
paras Bug
parasect Bug
venonat Bug
venomoth Bug
diglett Ground
dugtrio Ground
meowth Normal
persian Normal
psyduck Water
golduck Water
mankey Fighting
primeape Fighting
growlithe Fire
arcanine Fire
poliwag Water
poliwhirl Water
poliwrath Water
abra Psychic
kadabra Psychic
alakazam Psychic
machop Fighting
machoke Fighting
machamp Fighting
bellsprout Grass
weepinbell Grass
victreebel Grass
tentacool Water
tentacruel Water
geodude Rock
graveler Rock
golem Rock
ponyta Fire
rapidash Fire
slowpoke Water
slowbro Water
magnemite Electric
magneton Electric
farfetchd Normal
doduo Normal
dodrio Normal
seel Water
dewgong Water
grimer Poison
muk Poison
shellder Water
cloyster Water
gastly Ghost
haunter Ghost
gengar Ghost
onix Rock
drowzee Psychic
hypno Psychic
krabby Water
kingler Water
voltorb Electric
electrode Electric
exeggcute Grass
exeggutor Grass
cubone Ground
marowak Ground
hitmonlee Fighting
hitmonchan Fighting
lickitung Normal
koffing Poison
weezing Poison
rhyhorn Ground
rhydon Ground
chansey Normal
tangela Grass
kangaskhan Normal
horsea Water
seadra Water
goldeen Water
seaking Water
staryu Water
starmie Water
mr-mime Psychic
scyther Bug
jynx Ice
electabuzz Electric
magmar Fire
pinsir Bug
tauros Normal
magikarp Water
gyarados Water
lapras Water
ditto Normal
eevee Normal
vaporeon Water
jolteon Electric
flareon Fire
porygon Normal
omanyte Rock
omastar Rock
kabuto Rock
kabutops Rock
aerodactyl Rock
snorlax Normal
articuno Ice
zapdos Electric
moltres Fire
dratini Dragon
dragonair Dragon
dragonite Dragon
mewtwo Psychic
mew Psychic
chikorita Grass
bayleef Grass
meganium Grass
cyndaquil Fire
quilava Fire
typhlosion Fire
totodile Water
croconaw Water
feraligatr Water
sentret Normal
furret Normal
hoothoot Normal
noctowl Normal
ledyba Bug
ledian Bug
spinarak Bug
ariados Bug
crobat Poison
chinchou Water
lanturn Water
pichu Electric
cleffa Fairy
igglybuff Normal
togepi Fairy
togetic Fairy
natu Psychic
xatu Psychic
mareep Electric
flaaffy Electric
ampharos Electric
bellossom Grass
marill Water
azumarill Water
sudowoodo Rock
politoed Water
hoppip Grass
skiploom Grass
jumpluff Grass
aipom Normal
sunkern Grass
sunflora Grass
yanma Bug
wooper Water
quagsire Water
espeon Psychic
umbreon Dark
murkrow Dark
slowking Water
misdreavus Ghost
unown Psychic
wobbuffet Psychic
girafarig Normal
pineco Bug
forretress Bug
dunsparce Normal
gligar Ground
steelix Steel
snubbull Fairy
granbull Fairy
qwilfish Water
scizor Bug
shuckle Bug
heracross Bug
sneasel Dark
teddiursa Normal
ursaring Normal
slugma Fire
magcargo Fire
swinub Ice
piloswine Ice
corsola Water
remoraid Water
octillery Water
delibird Ice
mantine Water
skarmory Steel
houndour Dark
houndoom Dark
kingdra Water
phanpy Ground
donphan Ground
porygon2 Normal
stantler Normal
smeargle Normal
tyrogue Fighting
hitmontop Fighting
smoochum Ice
elekid Electric
magby Fire
miltank Normal
blissey Normal
raikou Electric
entei Fire
suicune Water
larvitar Rock
pupitar Rock
tyranitar Rock
lugia Psychic
ho-oh Fire
celebi Psychic
treecko Grass
grovyle Grass
sceptile Grass
torchic Fire
combusken Fire
blaziken Fire
mudkip Water
marshtomp Water
swampert Water
poochyena Dark
mightyena Dark
zigzagoon Normal
linoone Normal
wurmple Bug
silcoon Bug
beautifly Bug
cascoon Bug
dustox Bug
lotad Water
lombre Water
ludicolo Water
seedot Grass
nuzleaf Grass
shiftry Grass
taillow Normal
swellow Normal
wingull Water
pelipper Water
ralts Psychic
kirlia Psychic
gardevoir Psychic
surskit Bug
masquerain Bug
shroomish Grass
breloom Grass
slakoth Normal
vigoroth Normal
slaking Normal
nincada Bug
ninjask Bug
shedinja Bug
whismur Normal
loudred Normal
exploud Normal
makuhita Fighting
hariyama Fighting
azurill Normal
nosepass Rock
skitty Normal
delcatty Normal
sableye Dark
mawile Steel
aron Steel
lairon Steel
aggron Steel
meditite Fighting
medicham Fighting
electrike Electric
manectric Electric
plusle Electric
minun Electric
volbeat Bug
illumise Bug
roselia Grass
gulpin Poison
swalot Poison
carvanha Water
sharpedo Water
wailmer Water
wailord Water
numel Fire
camerupt Fire
torkoal Fire
spoink Psychic
grumpig Psychic
spinda Normal
trapinch Ground
vibrava Ground
flygon Ground
cacnea Grass
cacturne Grass
swablu Normal
altaria Dragon
zangoose Normal
seviper Poison
lunatone Rock
solrock Rock
barboach Water
whiscash Water
corphish Water
crawdaunt Water
baltoy Ground
claydol Ground
lileep Rock
cradily Rock
anorith Rock
armaldo Rock
feebas Water
milotic Water
castform Normal
kecleon Normal
shuppet Ghost
banette Ghost
duskull Ghost
dusclops Ghost
tropius Grass
chimecho Psychic
absol Dark
wynaut Psychic
snorunt Ice
glalie Ice
spheal Ice
sealeo Ice
walrein Ice
clamperl Water
huntail Water
gorebyss Water
relicanth Water
luvdisc Water
bagon Dragon
shelgon Dragon
salamence Dragon
beldum Steel
metang Steel
metagross Steel
regirock Rock
regice Ice
registeel Steel
latias Dragon
latios Dragon
kyogre Water
groudon Ground
rayquaza Dragon
jirachi Steel
deoxys-normal Psychic
turtwig Grass
grotle Grass
torterra Grass
chimchar Fire
monferno Fire
infernape Fire
piplup Water
prinplup Water
empoleon Water
starly Normal
staravia Normal
staraptor Normal
bidoof Normal
bibarel Normal
kricketot Bug
kricketune Bug
shinx Electric
luxio Electric
luxray Electric
budew Grass
roserade Grass
cranidos Rock
rampardos Rock
shieldon Rock
bastiodon Rock
burmy Bug
wormadam-plant Bug
mothim Bug
combee Bug
vespiquen Bug
pachirisu Electric
buizel Water
floatzel Water
cherubi Grass
cherrim Grass
shellos Water
gastrodon Water
ambipom Normal
drifloon Ghost
drifblim Ghost
buneary Normal
lopunny Normal
mismagius Ghost
honchkrow Dark
glameow Normal
purugly Normal
chingling Psychic
stunky Poison
skuntank Poison
bronzor Steel
bronzong Steel
bonsly Rock
mime-jr Psychic
happiny Normal
chatot Normal
spiritomb Ghost
gible Dragon
gabite Dragon
garchomp Dragon
munchlax Normal
riolu Fighting
lucario Fighting
hippopotas Ground
hippowdon Ground
skorupi Poison
drapion Poison
croagunk Poison
toxicroak Poison
carnivine Grass
finneon Water
lumineon Water
mantyke Water
snover Grass
abomasnow Grass
weavile Dark
magnezone Electric
lickilicky Normal
rhyperior Ground
tangrowth Grass
electivire Electric
magmortar Fire
togekiss Fairy
yanmega Bug
leafeon Grass
glaceon Ice
gliscor Ground
mamoswine Ice
porygon-z Normal
gallade Psychic
probopass Rock
dusknoir Ghost
froslass Ice
rotom Electric
uxie Psychic
mesprit Psychic
azelf Psychic
dialga Steel
palkia Water
heatran Fire
regigigas Normal
giratina-altered Ghost
cresselia Psychic
phione Water
manaphy Water
darkrai Dark
shaymin-land Grass
arceus Normal
victini Psychic
snivy Grass
servine Grass
serperior Grass
tepig Fire
pignite Fire
emboar Fire
oshawott Water
dewott Water
samurott Water
patrat Normal
watchog Normal
lillipup Normal
herdier Normal
stoutland Normal
purrloin Dark
liepard Dark
pansage Grass
simisage Grass
pansear Fire
simisear Fire
panpour Water
simipour Water
munna Psychic
musharna Psychic
pidove Normal
tranquill Normal
unfezant Normal
blitzle Electric
zebstrika Electric
roggenrola Rock
boldore Rock
gigalith Rock
woobat Psychic
swoobat Psychic
drilbur Ground
excadrill Ground
audino Normal
timburr Fighting
gurdurr Fighting
conkeldurr Fighting
tympole Water
palpitoad Water
seismitoad Water
throh Fighting
sawk Fighting
sewaddle Bug
swadloon Bug
leavanny Bug
venipede Bug
whirlipede Bug
scolipede Bug
cottonee Grass
whimsicott Grass
petilil Grass
lilligant Grass
basculin-red-striped Water
sandile Ground
krokorok Ground
krookodile Ground
darumaka Fire
darmanitan-standard Fire
maractus Grass
dwebble Bug
crustle Bug
scraggy Dark
scrafty Dark
sigilyph Psychic
yamask Ghost
cofagrigus Ghost
tirtouga Water
carracosta Water
archen Rock
archeops Rock
trubbish Poison
garbodor Poison
zorua Dark
zoroark Dark
minccino Normal
cinccino Normal
gothita Psychic
gothorita Psychic
gothitelle Psychic
solosis Psychic
duosion Psychic
reuniclus Psychic
ducklett Water
swanna Water
vanillite Ice
vanillish Ice
vanilluxe Ice
deerling Normal
sawsbuck Normal
emolga Electric
karrablast Bug
escavalier Bug
foongus Grass
amoonguss Grass
frillish Water
jellicent Water
alomomola Water
joltik Bug
galvantula Bug
ferroseed Grass
ferrothorn Grass
